ticket_id,ticket_text,true_category,true_urgency,predicted_category,predicted_urgency,rationale
T001,"Hey, my card's been blocked and I have no idea why. I'm abroad and I need it to pay for my hotel. Can you help ASAP?",,,Account,High,The customer's card is blocked and they urgently need access to funds while abroad.
T002,I'm being charged 2.5% on my foreign transactions but I thought Monzo didn't charge fees? Can you explain?,,,Billing,Low,The customer is inquiring about foreign transaction fees.
T003,I've tried to log in 5 times and it keeps saying my details are wrong. I know they're right. Help!,,,Technical,High,The customer is unable to access their account due to a login issue.
T004,I'd love it if you could add a feature to automatically categorise my transactions. Would make my life so much easier,,,Other,Low,"The customer is requesting a new feature, not reporting a problem or issue."
T005,Something's gone wrong with my account. I had £500 in there yesterday and now it's all gone. Can you look into it?,,,Account,High,Customer reports missing funds and potential access issue with their account
T006,How do I close my Monzo account? I've decided to switch to a different bank,,,Account,Low,"The customer is asking about closing their account, which falls under account management."
T007,The app keeps crashing when I try to make a payment. It's really frustrating. Can you fix it?,,,Technical,Medium,The customer is experiencing a payment failure due to an app crash.
T008,I'm trying to pay my rent but the payment keeps failing. It says it's because of 'security checks' but I've already verified my account,,,Technical,High,The customer is experiencing a payment failure that is blocking access to funds.
T009,I've got a charge on my statement from a company I've never heard of. Can you tell me what it is?,,,Billing,Medium,The customer is inquiring about an unknown charge on their statement.
T010,I just wanted to say that I love the new budgeting feature! It's so much better than the old one,,,Other,Low,The customer is providing general feedback on a feature.
T011,I've been locked out of my account for 24 hours and I really need to get in to pay a bill. Can you help me?,,,Account,High,Customer is locked out of their account and needs urgent access to pay a bill
T012,Something's not quite right... I'm not sure what's going on but my account doesn't seem to be working properly. Can you take a look?,,,Account,Medium,"The customer reports a vague issue with their account not working properly, which suggests an access or functionality problem."
T013,I'm trying to send money to a friend but it says I don't have enough funds. I know I do. It's like the app isn't updating or something,,,Technical,Medium,"The customer is experiencing an issue with the app not updating their funds correctly, preventing a money transfer."
T014,Can I get a refund on a purchase I made last week? The item was faulty and the seller won't respond to my messages,,,Billing,Medium,The customer is requesting a refund for a faulty purchase.
T015,"I've got a few issues with my account. First, my card's not working. Second, I've got a weird charge on my statement. And third... actually, can I just talk to someone about all this? It's a bit complicated",,,Account,Medium,"The customer has multiple issues including a non-working card and a suspicious charge, but does not indicate immediate loss of access to funds."
T016,"Hi, my card was just blocked with no explanation and I have a train to catch in an hour. Can you please help me ASAP?",,,Account,High,The customer's card is blocked and they need urgent assistance to access their funds for a time-sensitive purpose.
T017,I'm being charged £10 a month for a subscription I don't remember signing up for. Can you look into this and refund me if it's an error?,,,Billing,Medium,The customer is being charged for an unknown subscription and is requesting a refund.
T018,"The Monzo app keeps crashing on my iPhone. I've tried restarting and updating the app, but nothing seems to work. Help!",,,Technical,Medium,The customer is experiencing a persistent app crash issue that is not resolving with basic troubleshooting.
