ticket_id,ticket_text,true_category,true_urgency
T001,"Hey, my card's been blocked and I have no idea why. I'm abroad and I need it to pay for my hotel. Can you help ASAP?",,
T002,I'm being charged 2.5% on my foreign transactions but I thought Monzo didn't charge fees? Can you explain?,,
T003,I've tried to log in 5 times and it keeps saying my details are wrong. I know they're right. Help!,,
T004,I'd love it if you could add a feature to automatically categorise my transactions. Would make my life so much easier,,
T005,Something's gone wrong with my account. I had £500 in there yesterday and now it's all gone. Can you look into it?,,
T006,How do I close my Monzo account? I've decided to switch to a different bank,,
T007,The app keeps crashing when I try to make a payment. It's really frustrating. Can you fix it?,,
T008,I'm trying to pay my rent but the payment keeps failing. It says it's because of 'security checks' but I've already verified my account,,
T009,I've got a charge on my statement from a company I've never heard of. Can you tell me what it is?,,
T010,I just wanted to say that I love the new budgeting feature! It's so much better than the old one,,
T011,I've been locked out of my account for 24 hours and I really need to get in to pay a bill. Can you help me?,,
T012,Something's not quite right... I'm not sure what's going on but my account doesn't seem to be working properly. Can you take a look?,,
T013,I'm trying to send money to a friend but it says I don't have enough funds. I know I do. It's like the app isn't updating or something,,
T014,Can I get a refund on a purchase I made last week? The item was faulty and the seller won't respond to my messages,,
T015,"I've got a few issues with my account. First, my card's not working. Second, I've got a weird charge on my statement. And third... actually, can I just talk to someone about all this? It's a bit complicated",,
T016,"Hi, my card was just blocked with no explanation and I have a train to catch in an hour. Can you please help me ASAP?",,
T017,I'm being charged £10 a month for a subscription I don't remember signing up for. Can you look into this and refund me if it's an error?,,
T018,"The Monzo app keeps crashing on my iPhone. I've tried restarting and updating the app, but nothing seems to work. Help!",,
T019,"I'm trying to change my address, but the app won't let me. It says I need to verify my ID again, but I've already done that. What's going on?",,
T020,"I love the new features you've been adding, but can you please make it easier to search for specific transactions? It's a bit of a pain right now.",,
T021,I think I've been a victim of fraud. I see a transaction on my account that I didn't make. Can you please help me get my money back and secure my account?,,
T022,"I'm not sure what's going on, but my account balance says I have -£50. I know I had money in my account yesterday. Can you look into this?",,
T023,"The currency conversion fees you're charging me are ridiculous. I know I was warned about them, but I didn't expect it to be this high. Can you review my recent transactions and see if there's anything you can do?",,
T024,"I'm locked out of my account and I really need to get in to pay a bill. I've tried resetting my password, but it's not working. Help!",,
T025,"I've been trying to close my account for weeks, but I keep getting errors when I try to submit the request. Can you please help me finally close my account?",,
T026,"Something weird is going on with my account. I'm not getting any notifications, and when I try to log in, it says my password is incorrect. But I know I'm using the right password...",,
T027,Can you please add a feature to allow us to export our transaction history to a CSV file? That would be really helpful for me.,,
T028,"I'm a bit confused about the recent charge on my account. It says it's for a 'service fee', but I'm not sure what that is. Can you please clarify?",,
T029,"I've been having some issues with the app, and I'm not sure if it's a technical problem or something with my account. Sometimes it says I have no balance, and other times it says I have a negative balance. And when I try to make a payment, it fails. Help!",,
T030,"I just got a notification that my card is being replaced, but I didn't request a new card. Is everything okay? Should I be worried about fraud or something?",,
T031,"Hey, I just got charged £15 for a transaction I didn't make. Can you look into this ASAP?",,
T032,I'm trying to log in to the app but it keeps saying my password is incorrect. I've tried resetting it but nothing's working,,
T033,"I love the new budgeting features, but can we get a 'save for a goal' type thing? Like, where I can set a target and track my progress?",,
T034,I'm on holiday in Spain and just got charged a weird fee for using my card. Can you tell me what this is and how to avoid it in future?,,
T035,Something weird is going on with my account. I've had a few suspicious transactions and I'm worried I've been hacked. Can you help me get to the bottom of this?,,
T036,How do I close my Monzo account? I've decided to switch to a different bank,,
T037,The app just crashed while I was trying to make a payment. Now the recipient is saying they haven't received the money. Can you sort this out?,,
T038,"I'm not sure what's going on, but my card was just declined at the shop. I've got plenty of money in my account, so it's a bit weird",,
T039,Can you help me with a refund? I bought something online and it never arrived. The seller is being unresponsive,,
T040,"I'm trying to update my address, but the app won't let me. It keeps saying there's an error",,
T041,Something's not right. I've been looking at my statement and I'm sure I've been charged twice for the same thing. Can you investigate?,,
T042,"I've been having some issues with the app, and I was wondering if you could tell me how to clear the cache or something?",,
T043,I've just gotten a new job and I need to set up a direct debit. Can you help me with that? I'm not sure where to start,,
T044,I'm a bit confused about the interest rates on my account. Can someone explain how it all works?,,
T045,I've got a problem. I think I might have given my card details to a scammer. What should I do now?,,
T046,"Hey, my card was just blocked and I have no idea why. I was trying to pay for groceries and it just declined. Can you please help me ASAP? I need to buy food for my family",,
T047,I've been charged £15 for a subscription I don't remember signing up for. Can you help me get a refund?,,
T048,"The app keeps crashing on my iPhone. I've tried restarting and updating, but it still doesn't work. Can you fix this please?",,
T049,"I'm trying to change my address, but the app won't let me. It says I need to verify my ID again, but I've already done that. Help!",,
T050,"I love the new budgeting features, but can you please add a way to track my savings goals? That would be really helpful",,
T051,Something weird is going on with my account. I've had a few strange transactions and I'm not sure what's going on. Can you look into it?,,
T052,I'm going abroad next week and I want to make sure I won't get charged any crazy fees. How does the currency conversion work?,,
T053,"I've been locked out of my account and I need to pay my rent ASAP. Can you please help me get back in? I've tried resetting my password, but it's not working",,
T054,"I'm not sure what's going on, but my account balance is wrong. I've got a negative balance, but I know I had money in there. Can you help me figure out what's going on?",,
T055,"The app is saying I've got a pending payment, but I don't know what it is. Can you tell me what it's for?",,
T056,"I want to close my account, but I'm not sure how. Can you walk me through the process?",,
T057,I've got a problem with my card. It's not being accepted anywhere and I'm not sure why. Can you help me?,,
T058,"I'm a bit confused about the interest rates on my account. Can you explain how it works? I've been trying to read the FAQs, but I'm still not sure",,
